name,abbreviation,month,as_of_date,pop
Alabama,AL,march,03/31/2020,21114
Alabama,AL,april,04/30/2020,20655
Alabama,AL,june,06/30/2020,19752
Alabama,AL,july,07/31/2020,19342
Alabama,AL,aug,08/31/2020,18901
Alabama,AL,sept,09/30/2020,18693
Alabama,AL,oct,10/31/2020,18262
Alabama,AL,nov,11/30/2020,17914
Alabama,AL,dec,12/31/2020,17725
Alabama,AL,jan_2021,01/31/2021,17454
Alabama,AL,feb_2021,02/28/2021,17308
Alabama,AL,march_2021,03/31/2021,17134
Alabama,AL,may_2021,04/30/2021,17051
Alabama,AL,april_2021,04/30/2021,17051
Alaska,AK,march,03/15/2020,4776
Alaska,AK,april,04/15/2020,4277
Alaska,AK,june,06/16/2020,4216
Alaska,AK,july,07/31/2020,4334
Alaska,AK,aug,08/31/2020,4414
Alaska,AK,sept,09/30/2020,4511
Alaska,AK,oct,10/31/2020,4586
Alaska,AK,nov,11/30/2020,4581
Alaska,AK,dec,12/31/2020,4559
Alaska,AK,jan_2021,01/31/2021,4523
Alaska,AK,feb_2021,02/28/2021,4505
Alaska,AK,march_2021,03/31/2021,4493
Alaska,AK,april_2021,04/30/2021,4478
Alaska,AK,may_2021,05/31/2021,4487
Arizona,AZ,march,03/31/2020,42360
Arizona,AZ,april,04/30/2020,41777
Arizona,AZ,june,06/30/2020,40529
Arizona,AZ,july,07/31/2020,39339
Arizona,AZ,aug,08/31/2020,39153
Arizona,AZ,sept,09/30/2020,38894
Arizona,AZ,oct,10/31/2020,38495
Arizona,AZ,nov,11/30/2020,38141
Arizona,AZ,dec,12/31/2020,37731
Arizona,AZ,jan_2021,01/31/2021,37396
Arizona,AZ,feb_2021,02/28/2021,36975
Arizona,AZ,march_2021,03/31/2021,36704
Arizona,AZ,april_2021,04/30/2021,36569
Arizona,AZ,may_2021,05/31/2021,36266
Arkansas,AR,march,03/15/2020,17501
Arkansas,AR,april,04/15/2020,17502
Arkansas,AR,june,06/16/2020,16473
Arkansas,AR,july,07/31/2020,15736
Arkansas,AR,aug,08/31/2020,15521
Arkansas,AR,sept,09/30/2020,15127
Arkansas,AR,oct,10/30/2020,14883
Arkansas,AR,nov,11/30/2020,14899
Arkansas,AR,dec,12/31/2020,14812
Arkansas,AR,jan_2021,02/01/2021,14462
Arkansas,AR,feb_2021,02/26/2021,14630
Arkansas,AR,march_2021,03/31/2021,15020
Arkansas,AR,april_2021,04/30/2021,15530
Arkansas,AR,may_2021,05/31/2021,15898
California,CA,march,03/11/2020,117639
California,CA,april,04/15/2020,113632
California,CA,june,06/17/2020,109800
California,CA,july,07/29/2020,102715
California,CA,aug,09/02/2020,97342
California,CA,sept,09/30/2020,94852
California,CA,oct,11/04/2020,94433
California,CA,nov,12/02/2020,94179
California,CA,dec,12/30/2020,92350
California,CA,jan_2021,01/27/2021,91341
California,CA,feb_2021,02/24/2021,91516
California,CA,march_2021,03/31/2021,92079
California,CA,april_2021,04/28/2021,92836
California,CA,may_2021,06/02/2021,95107
Colorado,CO,march,03/31/2020,17585
Colorado,CO,april,04/30/2020,16382
Colorado,CO,june,06/30/2020,15807
Colorado,CO,july,07/31/2020,15531
Colorado,CO,aug,08/31/2020,15022
